"","INT_1","INT_2","INT_3","INT_4","LIV_1","LIV_2","LIV_3","LIV_4"
"Smp_333470",5.88839719892473,6.42302907474866,5.66144491893874,6.29038686515723,6.05073019968646,6.634247751087,5.63059591652132,5.69813750988821
"Smp_333660",2.56185896911196,1.28538694554202,2.51228725895802,2.93616375322469,1.28538694554202,2.29838847545391,1.28538694554202,2.92309289979983
"Smp_333770",2.20221402564359,1.28538694554202,2.16560074465376,2.93616375322469,1.28538694554202,1.28538694554202,1.28538694554202,2.2636584893904
"Smp_333910",2.56185896911196,1.28538694554202,2.97501388153427,3.16209271194846,1.28538694554202,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_334000",2.20221402564359,1.28538694554202,1.28538694554202,2.65586818214325,1.28538694554202,2.00888757746702,1.28538694554202,2.92309289979983
"Smp_334080",3.52146810483221,3.34801934249986,3.78689163392738,2.93616375322469,3.65584041646758,3.85600163107832,1.28538694554202,3.147626318167
"Smp_334300",2.82598493445811,1.28538694554202,1.28538694554202,2.93616375322469,1.28538694554202,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_334555",1.28538694554202,2.80069977410151,1.28538694554202,3.16209271194846,1.28538694554202,2.51421529061835,1.28538694554202,2.2636584893904
"Smp_334740",1.93904056942926,1.28538694554202,2.76765683897908,2.80470888550687,2.74954660471989,2.00888757746702,1.28538694554202,1.28538694554202
"Smp_334750",3.30333083294673,2.3803414435335,1.28538694554202,2.93616375322469,2.74954660471989,2.29838847545391,1.28538694554202,1.98362372481818
"Smp_334940",2.56185896911196,3.72939495041365,2.51228725895802,3.16209271194846,1.28538694554202,2.97754411992151,4.11507649817148,2.2636584893904
"Smp_335040",5.18062747137731,5.37680717746535,5.26341777410977,5.54893191935894,5.11990756366449,4.9820147127529,4.36329884505056,5.10405903053577
"Smp_335050",2.20221402564359,2.80069977410151,2.16560074465376,3.05438204349651,3.65584041646758,2.29838847545391,3.42208266540914,3.04056625385644
"Smp_335380",2.70194139326678,1.28538694554202,2.16560074465376,2.65586818214325,1.28538694554202,2.00888757746702,1.28538694554202,3.147626318167
"Smp_335460",4.45346356825997,4.02612156412284,3.78689163392738,4.94261192130253,2.34194128736319,4.383037589008,1.28538694554202,3.147626318167
"Smp_335470",4.45346356825997,4.02612156412284,3.78689163392738,4.94261192130253,2.34194128736319,4.42624625867081,1.28538694554202,3.147626318167
"Smp_335480",4.06484156478212,4.47776686472716,3.68195725738995,4.5596911693182,1.28538694554202,4.33845663332579,1.28538694554202,3.24616570749668
"Smp_335490",3.82017859665657,3.5524176748125,3.44356418992518,4.18394218203144,1.28538694554202,3.72115213981448,1.28538694554202,3.04056625385644
"Smp_335510",4.48699701819909,4.27012464719164,3.9751858288367,5.10128207301277,2.34194128736319,4.58692800935744,1.28538694554202,3.422900388911
"Smp_335620",3.52146810483221,1.28538694554202,2.51228725895802,3.16209271194846,4.18718330909461,2.51421529061835,1.28538694554202,3.50297324576032
"Smp_335675",1.28538694554202,2.80069977410151,2.76765683897908,2.48273031570476,1.28538694554202,2.29838847545391,3.42208266540914,2.47280567850169
"Smp_335800",3.70853930828445,2.80069977410151,3.68195725738995,4.03227563442488,3.48250090189167,3.20784105965571,1.28538694554202,4.01352315559188
"Smp_335930",2.20221402564359,1.28538694554202,1.28538694554202,1.28538694554202,3.80927100733812,2.69130365696115,1.28538694554202,2.644689809044
"Smp_335990",2.56185896911196,1.28538694554202,2.51228725895802,3.79996925123405,3.65584041646758,3.72115213981448,1.28538694554202,3.24616570749668
"Smp_336130",2.20221402564359,1.28538694554202,2.51228725895802,2.65586818214325,2.74954660471989,1.28538694554202,1.28538694554202,2.2636584893904
"Smp_336250",2.20221402564359,2.80069977410151,1.28538694554202,3.66702019011835,3.65584041646758,3.57128021453252,3.42208266540914,3.147626318167
"Smp_336360",2.56185896911196,1.28538694554202,1.28538694554202,2.27197690098691,1.28538694554202,2.29838847545391,3.42208266540914,1.28538694554202
