"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"1027","Smp_305875",4,0,2,2,0,4,1,4,17
"1028","Smp_337280",0,0,4,0,4,4,0,2,14
"1029","Smp_315740",4,0,2,2,0,4,0,2,14
"1030","Smp_157800",2,0,0,6,0,2,0,4,14
"1031","Smp_323420",16,1,6,16,1,1,0,5,46
"1032","Smp_323440",17,6,3,11,1,5,0,3,46
"1033","Smp_065840",2,0,0,4,2,4,0,6,18
"1034","Smp_065770",2,2,1,4,1,0,0,0,10
"1035","Smp_025570",9,0,8,5,5,12,2,8,49
"1036","Smp_025560",2,0,2,0,0,4,1,2,11
"1037","Smp_025550",2,2,2,2,0,0,0,2,10
"1038","Smp_025510",0,0,4,2,0,4,0,6,16
"1039","Smp_136010",2,0,2,5,2,0,0,0,11
"1040","Smp_025380",8,2,16,4,2,10,0,6,48
"1041","Smp_135960",0,0,0,6,0,2,0,2,10
"1042","Smp_025260",3,0,2,0,0,2,1,2,10
"1043","Smp_135900",0,0,4,6,0,0,0,4,14
"1044","Smp_323540",0,3,1,0,3,1,0,6,14
"1045","Smp_025150",6,0,2,0,2,0,0,0,10
"1046","Smp_135840",2,0,6,4,2,4,0,3,21
"1047","Smp_025130",2,0,0,0,4,4,0,2,12
"1048","Smp_135830",2,0,4,2,0,3,0,2,13
"1049","Smp_025100",2,2,2,0,2,4,0,4,16
"1050","Smp_323560",4,2,0,2,2,8,0,0,18
"1051","Smp_135790",2,0,2,0,0,0,2,4,10
"1052","Smp_064750",4,0,0,4,0,0,0,2,10
"1053","Smp_210500",10,0,8,6,4,8,0,6,42
"1054","Smp_157100",0,0,0,6,2,2,0,0,10
"1055","Smp_341020",2,6,2,4,2,4,0,8,28
"1056","Smp_064860",8,2,2,6,8,6,0,4,36
"1057","Smp_064870",2,2,2,1,4,1,0,4,16
"1058","Smp_064950",2,0,0,4,2,2,0,8,18
"1059","Smp_001940",0,0,0,2,4,0,0,4,10
"1060","Smp_046160",0,0,0,6,0,2,0,2,10
"1061","Smp_046140",2,0,0,0,2,2,0,4,10
"1062","Smp_046130",0,0,0,2,2,0,2,4,10
"1063","Smp_046100",2,0,0,6,0,4,0,6,18
"1064","Smp_046090",14,2,2,20,6,6,0,14,64
"1065","Smp_046060",6,4,2,10,8,6,2,6,44
"1066","Smp_046030",0,4,0,8,2,2,0,2,18
"1067","Smp_046020",2,0,0,6,2,0,0,0,10
"1068","Smp_045950",26,18,9,32,9,26,3,18,141
"1069","Smp_347610",17,9,15,44,18,40,5,33,181
"1070","Smp_244460",0,0,0,2,2,8,0,12,24
"1071","Smp_045730",4,0,0,2,0,0,2,2,10
"1072","Smp_346610",2,0,6,0,0,0,2,2,12
"1073","Smp_350020",18,8,10,20,0,22,1,7,86
"1074","Smp_340450",4,1,2,0,4,0,0,0,11
"1075","Smp_323650",64,20,19,28,5,49,3,23,211
"1076","Smp_024030",30,14,32,36,24,47,4,38,225
"1077","Smp_024110",8,0,0,8,0,13,0,8,37
"1078","Smp_024120",6,0,2,4,8,4,0,2,26
"1079","Smp_024140",26,4,8,30,14,30,0,10,122
"1080","Smp_084320",2,0,2,0,0,6,0,0,10
"1081","Smp_135270",2,0,0,5,0,2,0,2,11
"1082","Smp_135280",0,0,4,2,0,2,0,4,12
"1083","Smp_024360",2,0,2,0,2,4,0,2,12
"1084","Smp_024370",0,0,0,0,2,6,0,2,10
"1085","Smp_024380",2,0,2,4,0,2,0,2,12
"1086","Smp_164500",5,0,2,8,0,3,0,5,23
"1087","Smp_020550",2,2,4,4,0,9,2,6,29
"1088","Smp_102160",4,0,3,0,8,4,0,0,19
"1089","Smp_133300",4,0,4,2,0,2,0,0,12
"1090","Smp_054300",2,0,2,4,2,0,0,2,12
"1091","Smp_331810",4,0,2,0,0,0,0,6,12
"1092","Smp_054320",138,30,91,149,65,191,12,150,826
"1093","Smp_054340",16,2,10,8,0,10,0,14,60
"1094","Smp_054360",2,0,0,4,0,8,0,0,14
"1095","Smp_340890",2,2,0,0,0,2,0,4,10
"1096","Smp_054470",6,0,0,0,2,2,0,7,17
"1097","Smp_151310",2,0,2,0,0,4,0,2,10
"1098","Smp_054540",2,2,0,0,8,4,0,10,26
"1099","Smp_151320",12,4,11,20,0,24,0,16,87
"1100","Smp_054560",4,5,0,2,0,3,0,2,16
"1101","Smp_038930",8,2,2,0,0,4,0,2,18
"1102","Smp_038980",2,0,0,0,6,6,0,4,18
"1103","Smp_142710",2,0,2,4,0,2,0,4,14
"1104","Smp_142740",2,0,2,8,0,1,0,2,15
"1105","Smp_142770",2,2,2,2,2,5,0,0,15
"1106","Smp_005020",3,2,0,8,0,0,0,2,15
"1107","Smp_090240",13,8,11,9,0,10,0,8,59
"1108","Smp_090230",4,0,2,3,6,18,0,2,35
"1109","Smp_323810",80,32,82,137,38,259,13,86,727
"1110","Smp_060190",0,2,4,4,4,10,4,12,40
"1111","Smp_323830",12,2,6,12,6,8,0,15,61
"1112","Smp_346280",2,4,2,6,2,0,0,0,16
"1113","Smp_099030",14,0,0,12,4,10,0,12,52
"1114","Smp_341410",0,3,2,6,0,2,0,0,13
"1115","Smp_194620",4,0,0,4,2,0,0,1,11
"1116","Smp_074700",2,2,2,8,6,12,2,0,34
"1117","Smp_345350",3,1,1,21,2,6,1,6,41
"1118","Smp_341180",6,0,3,4,0,7,1,9,30
"1119","Smp_162390",1,0,2,1,2,8,2,0,16
"1120","Smp_074470",4,0,2,1,0,6,0,2,15
"1121","Smp_074500",0,0,0,2,2,4,2,0,10
"1122","Smp_162350",2,0,0,2,2,5,0,2,13
"1123","Smp_104270",4,2,0,2,0,2,0,2,12
"1124","Smp_104210",6,4,5,0,2,2,0,4,23
"1125","Smp_180350",19,0,6,16,6,4,2,4,57
"1126","Smp_103710",4,0,0,4,0,8,0,2,18
"1127","Smp_180040",2,1,0,10,2,0,0,3,18
"1128","Smp_198420",2,0,0,1,0,6,2,2,13
"1129","Smp_244250",4,6,8,4,0,3,2,3,30
"1130","Smp_167800",4,0,5,1,6,2,1,8,27
"1131","Smp_055900",10,0,2,2,0,4,0,2,20
"1132","Smp_055880",4,0,10,12,4,18,0,6,54
"1133","Smp_055870",2,0,0,0,0,4,0,8,14
"1134","Smp_055800",20,6,16,16,6,8,2,6,80
"1135","Smp_194920",2,0,2,0,4,7,2,6,23
"1136","Smp_044970",4,2,8,6,6,4,0,6,36
"1137","Smp_130540",7,3,0,2,0,4,0,2,18
"1138","Smp_266790",2,0,0,7,2,6,0,6,23
"1139","Smp_130520",5,2,6,8,8,6,0,4,39
"1140","Smp_130440",8,0,0,4,4,4,0,8,28
"1141","Smp_015220",4,2,0,2,1,2,0,0,11
"1142","Smp_130410",8,2,1,0,8,4,0,0,23
