"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"4006","Smp_023010",6,0,3,9,3,5,0,2,28
"4007","Smp_134510",12,2,10,10,4,8,2,6,54
"4008","Smp_134500",2,2,3,2,1,4,3,1,18
"4009","Smp_349750",4,0,2,7,6,0,0,4,23
"4010","Smp_134490",5,0,4,2,0,5,0,5,21
"4011","Smp_134480",2,2,0,0,0,2,0,4,10
"4012","Smp_134470",12,4,8,4,14,6,2,4,54
"4013","Smp_022960",0,0,0,4,2,0,2,2,10
"4014","Smp_166660",8,2,4,2,3,0,6,0,25
"4015","Smp_082360",4,0,10,2,6,2,2,5,31
"4016","Smp_337820",7,0,9,26,30,76,5,52,205
"4017","Smp_332340",4,12,5,19,21,23,3,34,121
"4018","Smp_318340",0,0,1,1,2,17,0,2,23
"4019","Smp_318350",0,0,1,1,2,5,0,2,11
"4020","Smp_125440",0,0,2,7,2,0,0,0,11
"4021","Smp_196880",2,0,2,3,0,0,2,6,15
"4022","Smp_125360",6,0,0,2,4,0,1,2,15
"4023","Smp_006000",4,0,1,4,2,0,2,0,13
"4024","Smp_005960",2,0,2,0,6,2,0,0,12
"4025","Smp_125340",2,0,0,0,2,2,2,2,10
"4026","Smp_005900",9,0,2,5,5,2,0,2,25
"4027","Smp_213800",19,32,10,9,10,20,5,16,121
"4028","Smp_213810",4,0,2,2,0,7,0,0,15
"4029","Smp_005880",6,2,6,20,8,16,0,13,71
"4030","Smp_337890",21,1,5,7,1,6,1,7,49
"4031","Smp_337900",6,0,2,5,1,6,1,1,22
"4032","Smp_247020",92,19,30,63,88,82,6,96,476
"4033","Smp_347870",105,13,44,81,78,91,9,109,530
"4034","Smp_342160",22,0,8,14,26,17,2,17,106
"4035","Smp_125290",8,2,2,3,5,2,0,4,26
"4036","Smp_125280",20,3,12,7,4,3,2,4,55
"4037","Smp_005720",0,0,2,4,0,5,2,2,15
"4038","Smp_340140",10,2,6,3,12,13,2,22,70
"4039","Smp_170550",9,0,5,10,6,4,4,9,47
"4040","Smp_170540",5,0,0,3,3,2,0,6,19
"4041","Smp_267240",4,2,7,0,0,2,0,2,17
"4042","Smp_212300",5,0,0,2,6,2,0,9,24
"4043","Smp_342130",3,0,0,4,4,0,0,2,13
"4044","Smp_241430",2,0,4,4,0,0,0,2,12
"4045","Smp_005670",17,0,2,4,7,10,0,3,43
"4046","Smp_337130",7,4,9,15,13,25,1,13,87
"4047","Smp_349020",7,2,2,9,7,10,3,7,47
"4048","Smp_318500",9,0,4,6,0,2,0,1,22
"4049","Smp_031880",4,2,4,2,6,2,2,2,24
"4050","Smp_332400",4,0,2,12,10,0,0,18,46
"4051","Smp_031770",6,4,8,9,2,2,0,8,39
"4052","Smp_343300",3,0,3,2,0,4,0,0,12
"4053","Smp_031730",4,0,0,4,6,0,2,4,20
"4054","Smp_031720",2,0,4,0,2,0,4,2,14
"4055","Smp_031690",2,0,2,12,0,4,0,6,26
"4056","Smp_139340",2,2,4,6,4,4,0,2,24
"4057","Smp_031680",4,0,0,0,0,1,2,4,11
"4058","Smp_164270",0,0,0,0,6,2,0,4,12
"4059","Smp_078090",2,0,2,1,7,2,0,3,17
"4060","Smp_078110",2,2,0,2,4,0,2,0,12
"4061","Smp_198330",9,0,2,2,2,0,0,0,15
"4062","Smp_126480",6,0,7,6,2,4,2,10,37
"4063","Smp_126490",2,0,2,4,4,2,0,5,19
"4064","Smp_315780",8,1,6,17,2,0,0,9,43
"4065","Smp_126520",2,0,2,0,0,0,2,4,10
"4066","Smp_008070",4,0,0,2,6,4,0,2,18
"4067","Smp_175810",29,4,6,16,6,8,0,25,94
"4068","Smp_097590",41,5,16,24,8,13,8,22,137
"4069","Smp_097560",2,0,0,2,2,2,0,2,10
"4070","Smp_346380",8,0,2,2,4,2,4,4,26
"4071","Smp_175740",8,0,0,2,4,2,4,2,22
"4072","Smp_316000",2,0,1,3,8,11,0,0,25
"4073","Smp_301050",12,4,8,16,11,0,4,2,57
"4074","Smp_301040",2,0,4,6,4,0,0,3,19
"4075","Smp_332360",2,0,1,0,6,6,2,10,27
"4076","Smp_349070",8,0,3,2,6,3,0,0,22
"4077","Smp_349050",14,8,2,11,8,37,1,8,89
"4078","Smp_020920",2,0,2,2,0,2,0,4,12
"4079","Smp_348810",2,0,0,2,4,0,2,0,10
"4080","Smp_348850",8,0,2,2,2,12,2,2,30
"4081","Smp_348860",16,0,10,2,3,23,2,15,71
"4082","Smp_900000",235,40,31,120,18,65,4,57,570
"4083","Smp_900010",107,10,16,50,6,38,2,35,264
"4084","Smp_900020",87,8,26,47,4,25,0,33,230
"4085","Smp_900030",37,0,1,10,3,11,2,6,70
"4086","Smp_900040",70,6,19,22,5,12,4,17,155
"4087","Smp_900050",294,32,88,213,19,92,22,78,838
"4088","Smp_900060",30,0,2,6,2,10,0,2,52
"4089","Smp_900070",56,8,13,18,10,23,0,12,140
"4090","Smp_900080",31,4,0,12,4,9,0,9,69
"4091","Smp_900090",183,20,43,139,20,87,8,68,568
"4092","Smp_900100",10,2,2,1,0,4,0,6,25
"4093","Smp_900110",119,5,34,77,23,31,0,27,316
