"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_038100",4,0,6,12,4,1,0,4
"Smp_038210",2,0,0,4,0,4,0,2
"Smp_038240",4,0,2,2,2,2,0,0
"Smp_038510",19,6,4,12,10,16,0,26
"Smp_038560",7,0,2,2,2,14,0,10
"Smp_038710",8,4,9,6,5,10,1,6
"Smp_038870",0,0,0,4,0,4,2,2
"Smp_038930",8,2,2,0,0,4,0,2
"Smp_038980",2,0,0,0,6,6,0,4
"Smp_039180",7,0,2,0,1,2,0,2
"Smp_039390",9,0,1,7,12,16,0,10
"Smp_039400",18,2,4,6,2,16,2,14
"Smp_039490",0,2,0,6,4,4,0,2
"Smp_039640",1,0,2,0,5,2,0,2
"Smp_039670",14,5,8,14,6,6,2,21
"Smp_039810",0,2,6,4,2,2,0,2
"Smp_039820",0,0,0,4,4,2,2,2
"Smp_039980",2,0,2,2,0,4,0,4
"Smp_040100",2,0,0,10,4,7,0,2
"Smp_040130",38,14,30,68,32,94,6,42
"Smp_040190",2,0,2,6,2,4,0,2
"Smp_040270",8,0,2,18,2,6,2,14
"Smp_040460",2,0,2,6,0,4,0,4
"Smp_040550",3,0,3,0,0,2,0,6
"Smp_040570",0,0,2,3,1,2,0,3
"Smp_040770",0,0,0,2,2,0,2,4
"Smp_040790",12,0,4,4,4,13,0,2
"Smp_040800",6,2,12,0,2,1,0,8
"Smp_040970",5,0,0,2,4,6,0,8
"Smp_041050",2,0,0,4,2,5,0,0
"Smp_041480",6,2,0,2,5,2,0,2
"Smp_041600",2,0,0,2,0,2,0,8
"Smp_041730",2,0,0,0,2,4,0,2
"Smp_041740",14,4,9,25,14,4,0,20
"Smp_041760",11,0,0,4,0,2,0,2
"Smp_041770",2,0,0,4,8,8,0,10
"Smp_042090",2,2,2,4,2,9,0,4
"Smp_042160",18,5,18,55,2,20,0,4
"Smp_042270",6,0,2,2,2,2,0,2
"Smp_042280",4,4,0,2,0,4,0,4
"Smp_042590",2,0,2,4,2,2,0,0
"Smp_042920",11,9,4,14,10,42,2,11
"Smp_042990",14,2,2,14,9,12,0,16
"Smp_043100",4,0,0,4,4,8,0,5
"Smp_043110",0,0,0,2,2,4,2,2
"Smp_043150",2,2,4,2,2,4,0,3
"Smp_043170",3,0,2,2,2,0,0,4
"Smp_043200",2,2,0,2,2,0,0,4
"Smp_043670",0,1,2,3,2,2,0,4
"Smp_043780",4,0,2,5,0,2,0,4
"Smp_043940",8,1,3,3,1,13,0,6
"Smp_043970",8,2,2,1,0,5,0,3
"Smp_044000",6,0,4,5,3,13,2,2
"Smp_044250",6,2,0,6,4,0,2,10
"Smp_044280",8,2,0,4,4,14,0,2
"Smp_044400",5,2,0,4,4,0,0,0
"Smp_044550",3,2,4,8,0,11,0,8
"Smp_044580",8,0,2,8,12,34,0,8
"Smp_044680",8,0,2,6,5,6,0,16
"Smp_044970",4,2,8,6,6,4,0,6
"Smp_045060",2,0,2,0,4,2,0,2
"Smp_045070",0,0,2,0,3,0,2,6
"Smp_045220",4,0,12,20,4,38,0,12
"Smp_045230",6,2,2,0,6,6,2,4
"Smp_045480",0,0,2,2,2,4,0,1
"Smp_045510",0,0,4,0,4,6,0,2
"Smp_045610",2,6,2,12,2,2,0,0
"Smp_045730",4,0,0,2,0,0,2,2
"Smp_045950",26,18,9,32,9,26,3,18
"Smp_046030",0,4,0,8,2,2,0,2
"Smp_046060",6,4,2,10,8,6,2,6
"Smp_046090",14,2,2,20,6,6,0,14
"Smp_046100",2,0,0,6,0,4,0,6
"Smp_046130",0,0,0,2,2,0,2,4
"Smp_046140",2,0,0,0,2,2,0,4
"Smp_046250",4,0,2,0,2,2,0,2
"Smp_046430",0,3,0,0,2,1,0,4
"Smp_046690",13,0,17,22,24,65,3,30
"Smp_046930",0,4,2,6,2,6,0,2
"Smp_047200",17,0,4,8,6,10,0,8
"Smp_047360",0,0,0,2,2,4,0,4
"Smp_047640",2,0,2,0,0,12,0,3
"Smp_047860",2,0,0,4,6,1,0,2
"Smp_047900",6,2,6,15,6,10,2,2
"Smp_048050",19,5,10,19,2,19,1,11
"Smp_048160",0,0,0,4,6,7,0,2
"Smp_048240",0,0,4,4,0,5,0,2
"Smp_048260",3,0,0,0,2,4,0,3
"Smp_048430",10,4,14,22,4,16,0,20
"Smp_048660",2,0,0,4,8,2,0,3
"Smp_048880",1,0,0,1,4,0,0,6
"Smp_048990",4,0,2,1,2,1,0,2
"Smp_049230",11,1,8,12,2,12,0,11
"Smp_049510",2,0,2,2,0,4,0,0
"Smp_049550",20,4,18,40,16,14,2,58
"Smp_049580",6,2,0,2,0,2,0,2
"Smp_049610",29,8,22,30,12,37,4,42
"Smp_049630",6,0,0,5,0,2,4,4
"Smp_049680",2,0,0,6,8,6,0,12
"Smp_049890",2,0,0,4,4,0,0,4
"Smp_050110",6,0,0,4,7,10,0,7
"Smp_050160",0,0,0,2,4,2,0,2
"Smp_050220",2,0,2,12,4,2,0,2
"Smp_050280",2,1,0,4,0,5,0,4
"Smp_050360",1,2,4,7,11,12,0,8
"Smp_050570",4,3,5,5,1,4,0,2
"Smp_050700",2,0,0,2,0,4,0,2
"Smp_050830",0,0,2,2,2,2,0,10
"Smp_050920",4,0,2,4,4,6,0,4
"Smp_050940",2,0,4,4,4,16,2,6
"Smp_051080",1,0,4,6,0,2,0,6
"Smp_051210",12,2,6,10,10,14,1,18
"Smp_051230",8,0,4,4,6,30,2,12
"Smp_051260",22,2,12,20,18,30,2,26
"Smp_051300",3,4,0,0,4,6,4,4
"Smp_051530",2,2,0,0,2,4,0,0
"Smp_051640",2,0,4,2,2,9,0,4
"Smp_051670",10,1,1,3,0,5,0,4
"Smp_052060",0,4,0,6,2,7,0,3
"Smp_052230",0,2,0,6,0,2,0,6
"Smp_052330",4,0,0,4,0,6,0,2
"Smp_052350",5,2,2,6,0,0,0,2
"Smp_052500",3,0,0,2,4,4,0,3
"Smp_052640",12,1,1,9,3,1,2,0
"Smp_052780",2,0,0,2,4,2,0,0
"Smp_052910",8,2,2,2,0,8,0,4
"Smp_053060",2,0,4,0,2,2,0,0
"Smp_053120",3,0,2,5,1,0,0,0
"Smp_053130",13,2,7,6,8,18,0,6
"Smp_053220",4,0,0,10,0,6,0,8
"Smp_053230",6,4,6,6,0,22,0,14
"Smp_053390",2,2,4,2,2,6,0,6
"Smp_053430",2,2,0,2,2,2,0,0
"Smp_053510",2,0,2,6,2,6,0,0
"Smp_053610",6,0,6,14,2,4,0,2
"Smp_053820",6,2,0,4,2,14,2,6
"Smp_053830",10,0,4,4,8,14,0,4
"Smp_053940",5,3,4,17,13,12,0,13
"Smp_054120",2,1,5,6,2,0,0,4
"Smp_054240",16,10,8,10,10,46,0,12
"Smp_054300",2,0,2,4,2,0,0,2
"Smp_054320",138,30,91,149,65,191,12,150
"Smp_054340",16,2,10,8,0,10,0,14
"Smp_054470",6,0,0,0,2,2,0,7
"Smp_054540",2,2,0,0,8,4,0,10
"Smp_054560",4,5,0,2,0,3,0,2
"Smp_054730",0,0,0,2,2,2,0,4
"Smp_054790",11,3,3,6,7,4,3,9
"Smp_054800",12,8,13,9,10,19,7,30
"Smp_055050",10,0,8,0,10,12,0,6
"Smp_055200",33,14,14,29,13,34,2,31
"Smp_055260",2,0,0,2,2,2,0,2
"Smp_055440",5,2,0,2,1,2,0,2
"Smp_055720",2,4,0,8,5,4,2,4
"Smp_055800",20,6,16,16,6,8,2,6
"Smp_055880",4,0,10,12,4,18,0,6
"Smp_055900",10,0,2,2,0,4,0,2
"Smp_055960",6,0,2,10,6,12,4,6
"Smp_055990",2,0,2,18,4,12,0,10
"Smp_056200",4,0,2,2,0,0,0,2
"Smp_056360",32,4,8,24,10,17,4,18
"Smp_056440",8,0,0,4,2,3,0,2
"Smp_056460",10,2,5,10,8,26,2,15
"Smp_056500",14,0,10,14,8,12,0,8
"Smp_056620",5,0,2,2,0,2,2,0
"Smp_056640",4,0,0,0,2,0,2,4
"Smp_056760",4,0,2,2,6,12,0,7
"Smp_056810",2,0,0,6,0,4,2,0
"Smp_056900",8,1,3,1,0,3,0,3
"Smp_056970",24,8,16,12,20,48,0,21
"Smp_057120",5,2,0,2,0,0,0,1
"Smp_057230",2,2,2,3,0,0,1,2
"Smp_057320",0,0,0,4,0,8,2,6
"Smp_057620",2,0,2,0,2,4,0,2
"Smp_057630",2,2,2,0,4,2,0,6
"Smp_058150",0,2,2,4,0,4,0,2
"Smp_058170",8,0,6,14,4,8,2,2
"Smp_058240",0,2,2,2,2,0,0,2
"Smp_058270",3,1,1,2,0,4,0,4
"Smp_058320",2,0,4,0,0,2,0,4
"Smp_058450",25,7,8,4,2,9,2,10
"Smp_058460",0,2,2,8,0,2,0,4
"Smp_058620",2,0,0,2,0,4,0,4
"Smp_058650",0,6,2,6,4,2,0,0
"Smp_058690",10,2,7,12,10,40,0,14
"Smp_058700",2,0,1,0,3,6,0,4
"Smp_058730",8,2,0,6,0,0,4,0
"Smp_058780",4,0,2,0,2,0,0,6
"Smp_059130",4,0,2,0,0,4,0,9
"Smp_059200",3,0,1,2,2,8,0,0
"Smp_059210",2,0,2,4,2,4,0,4
"Smp_059240",2,2,1,0,6,4,0,0
"Smp_059340",6,0,0,6,0,8,2,5
"Smp_059350",4,0,2,2,6,4,0,4
"Smp_059540",2,0,0,2,4,0,0,2
"Smp_059600",1,2,0,4,2,0,0,14
"Smp_059780",1,0,0,7,1,5,0,11
